angDist,_Glon,_Glat,_RAJ2000,_DEJ2000,2MASS,more,RAJ2000,DEJ2000,Cluster,YSO,Num,RV,e_RV,Vrot,e_Vrot,Teff,e_Teff,log(g),e_log(g),Veil,e_Veil,SB2,chi2,Slope,Lchi2,LSlope,q,e_q,SimbadName,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.142825,158.3104568302,-20.5733933731,52.22043228,31.27401161,2M03285290+3116264,*,52.22043228,31.27401161,NGC 1333,2,2,13.8,0.967,23.3,1.79,2850.0,35.3,3.97,0.189,0.104,0.0594,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285290+3116264,52.22046656231,31.27403835816,0.0019432,0.0014547,80.77,121404122569297536,52.22050344755,0.0987,31.27399243599,0.0727,3.2547,0.1116,29.1522,12.533,7.093,0.121,-10.332,0.093,208,0.4937,251.63,0.339,2.133,31,1e+20,1e+20,14,1.023,0,2390.96,4.13188,17.240934,231.312,8.55671,19.428045,3570.98,15.865928,1.59,3.562118,1e+20,1e+20,0,1e+20,1e+20,145520522204499429,999999,999999,607033731,0.003334,0.04026,0.007968,17.240934,0.003334,2390.96,0.028,1.9322,1.4693,0.0926
0.10541,158.309017961,-20.5647051137,52.22530365,31.28175545,2M03285407+3116543,*,52.22530365,31.28175545,NGC 1333,2,1,14.2,0.452,13.9,1.04,2920.0,20.5,4.31,0.117,0.0429,0.0355,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285407+3116543,52.22533751948,31.28175986561,0.0023951,0.00177,87.5,121404126865125888,52.22537074813,0.1204,31.28171547766,0.0875,3.1891,0.1341,23.7816,11.856,6.39,0.15,-9.987,0.112,207,2.117,341.42,0.617,6.814,31,1e+20,1e+20,14,1.105,0,2316.35,3.63676,17.275356,163.923,13.0992,19.801945,3812.12,15.794978,1.717,4.006967,1e+20,1e+20,0,1e+20,1e+20,145530522253088698,999999,999999,607033732,0.00324,0.086807,0.005785,17.275356,0.00324,2316.35,0.096,2.394,1.7714,0.0268
0.122146,158.3112050239,-20.5642406105,52.22754288,31.28089142,2M03285461+3116512,*,52.22754288,31.28089142,NGC 1333,2,1,15.1,0.273,10.1,0.829,3970.0,15.6,4.26,0.0773,0.709,0.0403,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285461+3116512,52.22758151586,31.28089922515,0.0022094,0.0016698,86.77,121404504822247808,52.22762538524,0.113,31.28085404692,0.0814,3.1653,0.1254,25.2469,13.21,8.436,0.138,-10.165,0.105,211,-0.5326,242.49,0.181,0.4113,31,1e+20,1e+20,14,0.972,0,1672.16,10.1559,17.629175,125.007,12.2478,20.096207,2681.11,16.17711,1.678,3.919096,1e+20,1e+20,0,1e+20,1e+20,145530522275637664,999999,999999,607033733,0.007147,0.106414,0.01927,17.629175,0.007147,1672.16,0.069,2.2079,1.6718,0.0319
0.122815,158.317550014,-20.5689697804,52.22975159,31.27353668,2M03285514+3116247,*,52.22975159,31.27353668,NGC 1333,2,1,13.8,0.382,13.9,0.888,3820.0,25.8,4.15,0.0851,0.271,0.0377,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285514+3116247,52.22977640097,31.2735634039,0.0020433,0.0015216,83.4,121403920706696064,52.22981972265,0.1021,31.27351261757,0.0752,3.4065,0.1147,29.7096,14.141,8.331,0.127,-11.427,0.097,211,0.7088,259.01,0.294,1.468,31,1e+20,1e+20,14,1.033,0,2119.68,4.87984,17.371689,207.168,16.0435,19.547737,3205.23,15.983249,1.61,3.564488,1e+20,1e+20,0,1e+20,1e+20,145520522297598856,999999,999999,607033735,0.00372,0.084128,0.007748,17.371689,0.00372,2119.68,0.047,2.0373,1.5296,0.0681
0.058024,158.306356647,-20.5486860884,52.23427963,31.29603767,2M03285622+3117457,*,52.23427963,31.29603767,NGC 1333,3,1,15.5,0.556,17.2,1.03,2750.0,25.2,3.99,0.161,0.00387,0.0195,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285622+3117457,52.23429371235,31.29602694697,0.0027075,0.0019279,92.11,121404539181985152,52.2343397095,0.1262,31.29598061866,0.0908,3.1765,0.1393,22.8078,13.67,8.843,0.17,-10.424,0.122,212,-1.1855,240.1,0.33,1.217,31,1e+20,1e+20,14,0.941,0,1513.4,2.43742,17.737478,91.3564,13.003,20.436695,2525.31,16.242111,1.729,4.194584,1e+20,1e+20,0,1e+20,1e+20,145550522342695818,999999,999999,607033736,0.003263,0.15456,0.007103,17.737478,0.003263,1513.4,0.082,2.7066,1.9292,-0.0255
0.042347,158.2986773715,-20.5367444033,52.23599243,31.30990028,2M03285663+3118356,*,52.23599243,31.30990028,NGC 1333,2,1,15.2,0.458,17.1,1.2,4320.0,30.1,4.58,0.107,0.922,0.0491,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285663+3118356,52.23599127357,31.30988855858,0.0017321,0.0012929,85.2,121404607901460864,52.23603841216,0.0877,31.3098423625,0.0619,3.3299,0.0999,33.3354,13.789,9.062,0.108,-10.394,0.082,211,0.5444,261.37,0.244,1.419,31,1e+20,1e+20,15,1.025,0,2909.58,23.8845,17.027792,329.781,14.7885,19.042978,4472.77,15.621454,1.651,3.421524,1e+20,1e+20,0,1e+20,1e+20,145570522359732455,999999,999999,607033737,0.009329,0.048768,0.024863,17.027792,0.009329,2909.58,0.108,1.7294,1.2965,0.0494
0.145891,158.3234639771,-20.5656377235,52.23727036,31.27285576,2M03285694+3116222,*,52.23727036,31.27285576,NGC 1333,2,1,15.0,0.329,8.93,1.13,4040.0,24.7,4.32,0.0865,0.408,0.0396,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285694+3116222,52.23731337716,31.27287280386,0.0069336,0.0050965,88.08,121404294367988608,52.23736135868,0.3842,31.27282396079,0.2523,3.1112,0.4312,7.2156,14.35,9.227,0.433,-10.99,0.321,191,0.9095,286.08,1.435,3.723,95,0.9823,0.0961,13,1.046,0,454.103,1.68551,19.044481,48.129,10.4674,21.132526,779.234,17.518726,1.822,3.6138,1e+20,1e+20,0,1e+20,1e+20,145520522372968026,999999,999999,607033739,0.004882,0.236149,0.019997,19.01889,0.004805,464.933,0.253,6.9318,5.0989,0.021
0.121701,158.2876333011,-20.5184751925,52.23922729,31.33071136,2M03285741+3119505,*,52.23922729,31.33071136,NGC 1333,3,1,13.5,0.339,17.6,0.669,3620.0,25.7,4.1,0.0756,0.248,0.0286,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285741+3119505,52.2392283641,31.33067756674,0.0009569,0.000692,80.6,121404710980675200,52.23925754904,0.0518,31.33062837732,0.0351,3.3592,0.0596,56.4045,12.408,5.609,0.059,-11.068,0.044,218,-0.0069,291.04,0.125,1.162,31,1e+20,1e+20,15,0.998,0,7654.65,7.41502,15.977553,737.119,8.98116,18.169697,11418.9,14.603832,1.588,3.565865,1e+20,1e+20,0,1e+20,1e+20,145590522392087411,999999,999999,607033742,0.002949,0.01352,0.00501,15.977553,0.002949,7654.65,0.025,0.9508,0.7004,0.1057
0.073272,158.3088002026,-20.540658804,52.24208069,31.30106163,2M03285809+3118038,*,52.24208069,31.30106163,NGC 1333,3,1,15.4,0.245,11.8,0.643,4070.0,18.0,4.58,0.0618,0.137,0.0215,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285809+3118038,52.24208884461,31.30104250647,0.0011057,0.0008279,92.37,121404539181984768,52.24213511717,0.0553,31.30099504881,0.0397,3.3711,0.0622,54.1688,13.898,8.896,0.069,-10.678,0.052,211,0.3998,228.65,0.0,0.0,31,1e+20,1e+20,15,1.018,0,5646.17,5.28226,16.307981,811.408,10.4697,18.065443,7516.41,15.05787,1.475,3.007573,1e+20,1e+20,0,1e+20,1e+20,145560522420761836,999999,999999,607033744,0.002937,0.014285,0.004784,16.307981,0.002937,5646.17,-0.007,1.1053,0.8285,-0.0242
0.038401,158.2666386391,-20.4875225321,52.2427063,31.36726189,2M03285824+3122021,*,52.2427063,31.36726189,NGC 1333,2,2,15.8,0.824,19.7,1.43,2620.0,37.8,3.93,0.22,0.00235,0.013,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285824+3122021,52.24270399704,31.36725140596,0.0218702,0.013072,101.95,121407047442195072,52.24275648333,0.9085,31.36719869583,0.6112,2.6449,1.0151,2.6055,15.567,10.083,1.363,-11.86,0.864,194,2.6555,274.88,2.601,1.995,95,1.1092,0.2488,13,1.138,0,134.116,1.34734,20.36867,57.349,9.79478,20.942226,258.174,18.718115,2.353,2.224112,1e+20,1e+20,0,1e+20,1e+20,145640522426921290,999999,999999,999999,0.01125,0.185456,0.045015,20.355911,0.011127,135.701,0.986,21.5667,13.5668,-0.2129
