cluster,L,B,D,L_err,B_err,D_err,U,V,W,U_err,V_err,W_err,UVW_dispersion,u,v,w
IC 348,160.4892413425805,-17.80876937457776,315.2470816561538,0.08494058638784946,0.05237350424882814,7.103391755451349,-16.701330889480783,-6.145498186382202,-7.582557065016388,1.1102263132510637,1.165861951866328,0.9606088985480086,1.874728250551058,-5.601330889480785,6.094501813617823,-0.33255706501639004
NGC 1333,158.3159702616971,-20.472365874315546,296.720765776094,0.05039372944450675,0.07191893183272671,8.862305589804084,-16.835271565656218,-10.984136986743056,-9.736973336851882,1.0129897927427556,1.603970704666745,0.7959778899041949,2.0572921870377283,-5.73527156565622,1.2558630132569686,-2.486973336851884
