angDist,_Glon,_Glat,_RAJ2000,_DEJ2000,2MASS,more,RAJ2000,DEJ2000,Cluster,YSO,Num,RV,e_RV,Vrot,e_Vrot,Teff,e_Teff,log(g),e_log(g),Veil,e_Veil,SB2,chi2,Slope,Lchi2,LSlope,q,e_q,SimbadName,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.062593,160.4010582901,-17.9141809407,55.98027039,32.13147354,2M03435526+3207533,*,55.98027039,32.13147354,IC 348,2,3,15.4,0.404,14.1,0.911,2670.0,20.5,4.14,0.125,0.159,0.0384,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03435526+3207533,55.98029036257,32.13147757055,0.003297,0.0020649,65.36,216680515968018304,55.98031718583,0.176,32.13144769504,0.1182,3.4698,0.1999,17.3604,8.444,5.111,0.193,-6.722,0.149,203,3.1107,347.04,0.701,5.895,31,1e+20,1e+20,12,1.159,0,1615.0,3.016,17.666937,103.028,10.9001,20.30615,2622.36,16.201164,1.688,4.104986,1e+20,1e+20,0,1e+20,1e+20,146550559802858345,999999,999999,611037761,0.003421,0.114902,0.007126,17.666937,0.003421,1615.0,0.053,3.1181,2.3263,0.3451
0.046693,160.38329739,-17.8925137995,55.98128128,32.15893936,2M03435550+3209321,*,55.98128128,32.15893936,IC 348,3,4,16.3,0.17,20.1,0.368,4980.0,36.7,4.78,0.0423,0.0915,0.0146,1,6650.0,23.6,6650.0,23.6,1e+20,1e+20,2MASS J03435550+3209321,55.98129643183,32.15893743859,0.0004458,0.0002638,78.24,216680692063125504,55.98132015348,0.0229,32.15890553447,0.014,3.1322,0.024,130.6961,8.482,4.518,0.027,-7.178,0.018,227,-0.4382,198.76,0.0,0.0,31,1e+20,1e+20,14,0.978,0,52489.9,63.2187,13.887177,14924.9,75.4401,14.903761,56492.2,12.867925,1.361,2.035836,1e+20,1e+20,0,1e+20,1e+20,146590559812631223,999999,999999,611037762,0.00305,0.006157,0.006258,13.887177,0.00305,52489.9,0.021,0.4398,0.2738,0.2141
0.094203,160.4667376399,-17.9850889177,55.98344803,32.03700256,2M03435602+3202132,*,55.98344803,32.03700256,IC 348,2,5,15.9,0.146,13.9,0.324,4100.0,11.1,3.66,0.0381,0.676,0.0196,1,1.2,1.09,1.2,1.09,1e+20,1e+20,2MASS J03435602+3202132,55.98346971281,32.037021185,0.0019602,0.0012666,67.42,216678660542082560,55.98348942867,0.1096,32.03699395193,0.0711,3.3971,0.1258,26.9976,7.189,3.76,0.116,-6.127,0.089,198,0.9116,271.44,0.359,3.271,31,1e+20,1e+20,12,1.045,0,3081.77,9.80053,16.965364,303.938,7.36831,19.13158,4864.17,15.530375,1.677,3.601206,1e+20,1e+20,0,1e+20,1e+20,146440559834705000,999999,999999,611037763,0.004417,0.026469,0.010036,16.965364,0.004417,3081.77,0.109,1.8742,1.3908,0.3044
0.075708,160.3957058513,-17.9029172875,55.98414993,32.14339066,2M03435619+3208362,*,55.98414993,32.14339066,IC 348,3,6,14.4,0.112,7.26,0.525,4100.0,9.8,4.81,0.0314,0.119,0.0115,1,0.958,1.61,0.958,1.61,1e+20,1e+20,2MASS J03435619+3208362,55.98417453164,32.14339354886,0.001242,0.0006877,71.98,216680623343650176,55.98420157379,0.0629,32.14336560106,0.0375,3.0769,0.0711,43.2565,8.129,5.152,0.074,-6.288,0.049,202,-0.6824,192.1,0.0,0.0,31,1e+20,1e+20,12,0.964,0,7344.54,14.632,16.022455,1202.61,21.285,17.638227,9608.44,14.791264,1.472,2.846964,1e+20,1e+20,0,1e+20,1e+20,146570559841932643,999999,999999,611037764,0.003503,0.019418,0.006647,16.022455,0.003503,7344.54,0.014,1.2001,0.7585,0.3456
0.05763,160.3395353319,-17.8226993008,55.99616623,32.239254,2M03435907+3214213,*,55.99616623,32.239254,IC 348,2,4,14.6,0.442,6.82,2.03,3040.0,29.9,4.75,0.124,1.36,0.105,1,0.0979,0.541,0.0979,0.541,1e+20,1e+20,2MASS J03435907+3214213,55.99618510228,32.23925279354,0.0021666,0.0014122,73.16,216694401598720768,55.99621007563,0.1055,32.23922290897,0.0698,2.9533,0.1201,24.5845,8.234,4.753,0.132,-6.724,0.096,213,2.7358,281.18,0.204,1.01,31,1e+20,1e+20,13,1.135,0,2926.43,23.6321,17.02152,580.718,26.8278,18.428629,3844.36,15.785834,1.512,2.642795,1e+20,1e+20,0,1e+20,1e+20,146680559961957682,999999,999999,612037970,0.00919,0.050236,0.029383,17.02152,0.00919,2926.43,0.084,2.1136,1.4903,0.2377
0.057078,160.3233362746,-17.8016340419,55.99806213,32.26531219,2M03435953+3215551,*,55.99806213,32.26531219,IC 348,3,16,23.5,0.0811,12.8,0.222,4130.0,6.0,4.6,0.0196,0.127,0.00643,1,0.784,0.95,0.784,0.95,1e+20,1e+20,2MASS J03435953+3215551,55.9980802814,32.26531616503,0.001726,0.0009889,75.03,216694848275314688,55.99809728988,0.0735,32.26529532033,0.051,2.6022,0.0876,29.7198,5.698,3.236,0.105,-4.69,0.068,250,-0.9504,247.58,0.0,0.0,31,1e+20,1e+20,15,0.956,0,3490.53,9.64021,16.830137,430.13,14.258,18.754541,4883.36,15.526097,1.522,3.228444,1e+20,1e+20,0,1e+20,1e+20,146710559980768963,999999,999999,612037971,0.004072,0.036098,0.009517,16.830137,0.004072,3490.53,0.008,1.6868,1.0543,0.2809
0.074818,160.3447555752,-17.8252204161,55.9987793,32.23413849,2M03435970+3214028,*,55.9987793,32.23413849,IC 348,3,3,14.3,0.143,9.8,0.487,4200.0,12.2,4.64,0.0387,0.149,0.0122,1,1.32,1.57,1.32,1.57,1e+20,1e+20,2MASS J03435970+3214028,55.99880184685,32.23414674769,0.0008698,0.0005379,78.4,216694195440291328,55.99882958459,0.0429,32.23411857237,0.0277,3.1598,0.05,63.1463,8.25,5.279,0.053,-6.339,0.036,234,0.9212,256.88,0.036,0.1591,31,1e+20,1e+20,14,1.042,0,11617.1,21.5059,15.524619,2019.0,18.6494,17.075703,14904.4,14.314611,1.457,2.761091,1e+20,1e+20,0,1e+20,1e+20,146680559988151560,999999,999999,612037972,0.003411,0.01041,0.006434,15.524619,0.003411,11617.1,0.011,0.8589,0.5552,0.193
0.092193,160.4500217742,-17.9447529268,55.99946976,32.07817841,2M03435987+3204414,*,55.99946976,32.07817841,IC 348,2,4,15.9,0.353,10.8,1.03,2850.0,19.9,4.54,0.101,0.0872,0.0346,1,0.382,0.36,0.382,0.36,1e+20,1e+20,2MASS J03435987+3204414,55.99949996138,32.07817939136,0.0042183,0.0026184,67.13,216679382096866944,55.99952731092,0.2132,32.078149449,0.1513,3.3188,0.242,13.7134,8.519,5.214,0.25,-6.737,0.187,191,-1.0194,200.43,0.0,0.0,31,1e+20,1e+20,12,0.946,0,840.699,1.84392,18.375765,63.5838,5.54297,20.830177,1418.77,16.868113,1.763,3.962065,1e+20,1e+20,0,1e+20,1e+20,146490559995064389,999999,999999,611037770,0.003642,0.094691,0.011281,18.375765,0.003642,840.699,0.148,4.0176,2.917,0.3343
0.097031,160.2889127694,-17.7476706574,56.00903702,32.32776642,2M03440216+3219399,*,56.00903702,32.32776642,IC 348,3,16,14.8,0.0784,14.4,0.202,4150.0,5.22,4.68,0.0172,0.138,0.00585,1,0.646,0.421,0.646,0.421,1e+20,1e+20,2MASS J03440216+3219399,56.00906782254,32.32777341976,0.0008768,0.0005206,82.62,216695844707719424,56.00909273919,0.0398,32.3277450256,0.0259,3.0759,0.047,65.4093,7.953,4.737,0.054,-6.389,0.034,263,0.9863,288.64,0.084,0.8784,31,1e+20,1e+20,15,1.042,0,11450.3,44.461,15.540322,2227.88,46.5333,16.968813,14286.5,14.360582,1.442,2.608231,1e+20,1e+20,0,1e+20,1e+20,146790560090673910,999999,999999,612037978,0.005036,0.022849,0.012048,15.540322,0.005036,11450.3,0.02,0.8721,0.5284,0.1377
0.0689,160.5958851119,-18.0944685042,56.01214981,31.87436676,2M03440291+3152277,*,56.01214981,31.87436676,IC 348,2,9,15.4,0.373,15.3,0.801,2750.0,19.1,4.04,0.115,0.0339,0.0233,1,0.131,0.617,0.131,0.617,1e+20,1e+20,2MASS J03440291+3152277,56.01216525741,31.87438069622,0.0084711,0.0052791,63.06,216667802865507712,56.01218907713,0.4224,31.87435041635,0.3314,3.7075,0.4508,8.2246,8.193,4.551,0.49,-6.813,0.39,239,2.7885,317.1,1.253,1.955,95,1.3103,0.102,15,1.13,0,282.57,1.20874,19.55955,41.5914,10.9283,21.291033,495.093,18.011179,1.899,3.279854,1e+20,1e+20,0,1e+20,1e+20,146240560121819820,999999,999999,999999,0.0054,0.285295,0.014905,19.533959,0.005307,289.31,0.377,7.9214,6.0729,0.3685
