angDist,_Glon,_Glat,_RAJ2000,_DEJ2000,2MASS,more,RAJ2000,DEJ2000,Cluster,YSO,Num,RV,e_RV,Vrot,e_Vrot,Teff,e_Teff,log(g),e_log(g),Veil,e_Veil,SB2,chi2,Slope,Lchi2,LSlope,q,e_q,SimbadName,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.122146,158.3112050239,-20.5642406105,52.22754288,31.28089142,2M03285461+3116512,*,52.22754288,31.28089142,NGC 1333,2,1,15.1,0.273,10.1,0.829,3970.0,15.6,4.26,0.0773,0.709,0.0403,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285461+3116512,52.22758151586,31.28089922515,0.0022094,0.0016698,86.77,121404504822247808,52.22762538524,0.113,31.28085404692,0.0814,3.1653,0.1254,25.2469,13.21,8.436,0.138,-10.165,0.105,211,-0.5326,242.49,0.181,0.4113,31,1e+20,1e+20,14,0.972,0,1672.16,10.1559,17.629175,125.007,12.2478,20.096207,2681.11,16.17711,1.678,3.919096,1e+20,1e+20,0,1e+20,1e+20,145530522275637664,999999,999999,607033733,0.007147,0.106414,0.01927,17.629175,0.007147,1672.16,0.069,2.2079,1.6718,0.0319
0.122815,158.317550014,-20.5689697804,52.22975159,31.27353668,2M03285514+3116247,*,52.22975159,31.27353668,NGC 1333,2,1,13.8,0.382,13.9,0.888,3820.0,25.8,4.15,0.0851,0.271,0.0377,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285514+3116247,52.22977640097,31.2735634039,0.0020433,0.0015216,83.4,121403920706696064,52.22981972265,0.1021,31.27351261757,0.0752,3.4065,0.1147,29.7096,14.141,8.331,0.127,-11.427,0.097,211,0.7088,259.01,0.294,1.468,31,1e+20,1e+20,14,1.033,0,2119.68,4.87984,17.371689,207.168,16.0435,19.547737,3205.23,15.983249,1.61,3.564488,1e+20,1e+20,0,1e+20,1e+20,145520522297598856,999999,999999,607033735,0.00372,0.084128,0.007748,17.371689,0.00372,2119.68,0.047,2.0373,1.5296,0.0681
0.042347,158.2986773715,-20.5367444033,52.23599243,31.30990028,2M03285663+3118356,*,52.23599243,31.30990028,NGC 1333,2,1,15.2,0.458,17.1,1.2,4320.0,30.1,4.58,0.107,0.922,0.0491,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285663+3118356,52.23599127357,31.30988855858,0.0017321,0.0012929,85.2,121404607901460864,52.23603841216,0.0877,31.3098423625,0.0619,3.3299,0.0999,33.3354,13.789,9.062,0.108,-10.394,0.082,211,0.5444,261.37,0.244,1.419,31,1e+20,1e+20,15,1.025,0,2909.58,23.8845,17.027792,329.781,14.7885,19.042978,4472.77,15.621454,1.651,3.421524,1e+20,1e+20,0,1e+20,1e+20,145570522359732455,999999,999999,607033737,0.009329,0.048768,0.024863,17.027792,0.009329,2909.58,0.108,1.7294,1.2965,0.0494
0.145891,158.3234639771,-20.5656377235,52.23727036,31.27285576,2M03285694+3116222,*,52.23727036,31.27285576,NGC 1333,2,1,15.0,0.329,8.93,1.13,4040.0,24.7,4.32,0.0865,0.408,0.0396,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285694+3116222,52.23731337716,31.27287280386,0.0069336,0.0050965,88.08,121404294367988608,52.23736135868,0.3842,31.27282396079,0.2523,3.1112,0.4312,7.2156,14.35,9.227,0.433,-10.99,0.321,191,0.9095,286.08,1.435,3.723,95,0.9823,0.0961,13,1.046,0,454.103,1.68551,19.044481,48.129,10.4674,21.132526,779.234,17.518726,1.822,3.6138,1e+20,1e+20,0,1e+20,1e+20,145520522372968026,999999,999999,607033739,0.004882,0.236149,0.019997,19.01889,0.004805,464.933,0.253,6.9318,5.0989,0.021
0.191339,158.3463319274,-20.5924153802,52.23835373,31.23858452,2M03285720+3114189,*,52.23835373,31.23858452,NGC 1333,3,5,14.5,0.209,33.2,0.328,5500.0,26.1,4.28,0.0371,0.139,0.012,1,1.78,2.45,1.78,2.45,1e+20,1e+20,2MASS J03285720+3114189,52.23838104302,31.23863226429,0.0005458,0.000409,73.89,121392062300963584,52.23842997495,0.0285,31.23859721656,0.0215,3.5867,0.0327,109.5513,12.28,9.413,0.033,-7.886,0.027,213,11.2754,1023.84,0.193,40.6,31,1e+20,1e+20,15,1.599,0,2528180.0,1037.87,9.680346,1206260.0,1360.26,10.134938,1929270.0,9.034412,1.24,1.100526,1e+20,1e+20,0,1e+20,1e+20,999999,999999,999999,607033741,0.002791,0.003047,0.00417,9.680346,0.002791,2528180.0,0.014,0.5365,0.4211,0.1541
0.121701,158.2876333011,-20.5184751925,52.23922729,31.33071136,2M03285741+3119505,*,52.23922729,31.33071136,NGC 1333,3,1,13.5,0.339,17.6,0.669,3620.0,25.7,4.1,0.0756,0.248,0.0286,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285741+3119505,52.2392283641,31.33067756674,0.0009569,0.000692,80.6,121404710980675200,52.23925754904,0.0518,31.33062837732,0.0351,3.3592,0.0596,56.4045,12.408,5.609,0.059,-11.068,0.044,218,-0.0069,291.04,0.125,1.162,31,1e+20,1e+20,15,0.998,0,7654.65,7.41502,15.977553,737.119,8.98116,18.169697,11418.9,14.603832,1.588,3.565865,1e+20,1e+20,0,1e+20,1e+20,145590522392087411,999999,999999,607033742,0.002949,0.01352,0.00501,15.977553,0.002949,7654.65,0.025,0.9508,0.7004,0.1057
0.073272,158.3088002026,-20.540658804,52.24208069,31.30106163,2M03285809+3118038,*,52.24208069,31.30106163,NGC 1333,3,1,15.4,0.245,11.8,0.643,4070.0,18.0,4.58,0.0618,0.137,0.0215,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03285809+3118038,52.24208884461,31.30104250647,0.0011057,0.0008279,92.37,121404539181984768,52.24213511717,0.0553,31.30099504881,0.0397,3.3711,0.0622,54.1688,13.898,8.896,0.069,-10.678,0.052,211,0.3998,228.65,0.0,0.0,31,1e+20,1e+20,15,1.018,0,5646.17,5.28226,16.307981,811.408,10.4697,18.065443,7516.41,15.05787,1.475,3.007573,1e+20,1e+20,0,1e+20,1e+20,145560522420761836,999999,999999,607033744,0.002937,0.014285,0.004784,16.307981,0.002937,5646.17,-0.007,1.1053,0.8285,-0.0242
0.029004,158.3629869368,-20.5946701377,52.25130463,31.22738075,2M03290031+3113385,*,52.25130463,31.22738075,NGC 1333,3,2,14.7,0.331,21.7,0.722,4130.0,16.8,4.57,0.0579,0.154,0.019,1,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2MASS J03290031+3113385,52.2513009761,31.227388176,0.0019955,0.0014647,81.52,121391997877483776,52.25133247718,0.0974,31.22734749627,0.0713,3.3663,0.1125,29.9219,10.978,6.061,0.123,-9.153,0.093,227,1.4292,285.85,0.301,1.547,31,1e+20,1e+20,15,1.067,0,2188.35,8.50002,17.337072,265.291,9.56197,19.279236,3140.08,16.005545,1.556,3.273691,1e+20,1e+20,0,1e+20,1e+20,145470522512863440,999999,999999,607033747,0.005038,0.039233,0.013047,17.337072,0.005038,2188.35,0.035,1.9855,1.4782,0.0912
0.047528,158.2860439875,-20.4784595476,52.26609039,31.36353111,2M03290386+3121487,*,52.26609039,31.36353111,NGC 1333,2,3,15.3,0.315,34.0,0.587,4630.0,18.1,4.46,0.0443,0.563,0.0221,1,0.239,0.4,0.239,0.4,1e+20,1e+20,2MASS J03290386+3121487,52.26607918527,31.36352201257,0.0009922,0.0006538,74.77,121407013083143936,52.26611203415,0.049,31.3634807513,0.0334,3.2918,0.0577,57.0219,11.226,6.311,0.06,-9.284,0.043,193,4.5721,296.4,0.211,5.006,31,1e+20,1e+20,15,1.243,0,12845.7,16.8571,15.415469,3091.6,28.8666,16.613083,19400.0,14.028389,1.751,2.584694,1e+20,1e+20,0,1e+20,1e+20,145630522660566825,999999,999999,607033753,0.003102,0.010515,0.005899,15.415469,0.003102,12845.7,0.332,0.9726,0.6826,0.2126
0.059617,158.5621504315,-20.8179915882,52.26721191,30.93687439,2M03290413+3056127,*,52.26721191,30.93687439,NGC 1333,2,7,12.6,0.323,10.4,0.869,2620.0,21.2,4.18,0.105,0.026,0.0188,1,0.189,0.41,0.189,0.41,1e+20,1e+20,2MASS J03290413+3056127,52.26722175595,30.93688863517,0.0030322,0.0021848,59.28,121008543197280640,52.26725688874,0.1505,30.93685090071,0.1178,3.8631,0.1771,21.8166,10.865,6.78,0.177,-8.49,0.154,221,-2.3743,396.05,0.799,8.534,95,1.0195,0.0343,15,0.886,0,1479.3,2.87464,17.762228,96.5106,8.04689,20.377104,2394.53,16.299843,1.684,4.077261,1e+20,1e+20,0,1e+20,1e+20,145120522672134826,999999,999999,605033306,0.00347,0.09057,0.007098,17.736637,0.003441,1514.58,0.053,2.8356,2.4345,0.2812
0.095577,158.2500690075,-20.4320542927,52.26737213,31.42087555,2M03290416+3125151,*,52.26737213,31.42087555,NGC 1333,3,7,15.1,0.257,34.0,0.439,3980.0,8.01,4.1,0.0339,0.373,0.0132,1,7.38,6.06,7.38,6.06,1e+20,1e+20,2MASS J03290416+3125151,52.26735474631,31.42085353188,0.0070032,0.0043086,98.55,121407803357122304,52.26738391766,0.3047,31.42080737537,0.2096,3.1397,0.332,9.4568,11.799,5.601,0.438,-10.385,0.28,211,1.1213,295.03,0.866,2.032,95,1.0998,0.0762,14,1.054,0,494.762,1.57245,18.951376,47.0704,5.75306,21.156673,918.888,17.339739,1.952,3.816935,1e+20,1e+20,0,1e+20,1e+20,145700522673425623,999999,999999,608033865,0.004416,0.132731,0.028277,18.925785,0.004353,506.562,0.356,6.9549,4.3862,-0.147
