cluster,L,B,D,L_err,B_err,D_err,U,V,W,U_err,V_err,W_err,UVW_dispersion,u,v,w
IC 348,160.44807891635463,-17.86026392582957,313.9916389132824,0.14983855948177127,0.22763045736792534,12.225286987753991,-16.46793416595014,-6.081614323171151,-7.585452814726482,0.7178438176848573,1.1025115613699512,1.1634459779129966,1.7562568243468002,-5.3679341659501425,6.158385676828874,-0.3354528147264837
NGC 1333,158.5487420283691,-20.470342082554822,293.7665154433183,0.36148767514621294,0.2286485679966048,10.653042013643867,-16.454469366873358,-10.090089764675295,-9.416247915564714,2.609597929009102,3.27444560812533,3.837211326620519,5.679452980420267,-5.35446936687336,2.1499102353247306,-2.166247915564716
